Engine Load(%),Engine RPM(rpm),Vehicle speed(km/h),O2 B1S1 sensor voltage(V),O2 B1S2 sensor voltage(V),beahavior
2.745098,1551,36,0.925,0.75,safe
11.764706,1675,34,0.05,0.075,safe
15.686275,1742,35,0.705,0.14,safe
14.901960999999998,1793,36,0.095,0.365,safe
14.901960999999998,1818,38,0.33,0.605,safe
14.901960999999998,1858,38,0.775,0.665,safe
13.725489999999999,1895,39,0.815,0.7,safe
12.941175999999999,1915,39,0.8,0.71,safe
9.8039216,1908,39,0.12,0.72,safe
9.8039216,1913,39,0.485,0.725,safe
7.8431372999999995,1904,39,0.71,0.725,safe
7.8431372999999995,1876,39,0.73,0.73,safe
6.6666667,1848,38,0.86,0.7,safe
3.9215686,1782,37,0.885,0.73,safe
4.7058824,1725,35,0.75,0.73,safe
5.8823529,1649,34,0.055,0.73,safe
5.8823529,1549,32,0.06,0.135,safe
6.6666667,1509,31,0.83,0.38,safe
9.8039216,1485,30,0.06,0.225,safe
9.8039216,1511,31,0.715,0.16,safe
8.627450999999999,1513,31,0.77,0.53,safe
8.627450999999999,1508,31,0.565,0.64,safe
6.6666667,1476,31,0.8,0.695,safe
5.8823529,1397,28,0.12,0.725,safe
4.7058824,1208,25,0.85,0.73,safe
3.9215686,900,23,0.815,0.735,safe
5.8823529,1322,20,0.075,0.735,safe
3.9215686,917,17,0.705,0.735,safe
