Engine Load(%),Engine RPM(rpm),Vehicle speed(km/h),Intake air temp(C),Abs throttle position(%),beahavior
18.823529,1606,25,39.0,20.392157,safe
20.0,1794,28,39.0,17.647059,safe
18.823529,1947,30,38.0,17.254901999999998,safe
18.823529,2090,32,39.0,17.254901999999998,safe
20.0,2201,35,39.0,3.9215686,safe
4.7058824,1653,34,38.0,12.941175999999999,safe
12.941175999999999,1725,34,39.0,13.333332999999998,safe
13.725489999999999,1731,36,39.0,11.764706,safe
11.764706,1773,36,39.0,9.8039216,safe
9.8039216,1799,37,39.0,5.8823529,safe
4.7058824,1803,37,39.0,5.8823529,safe
4.7058824,1800,37,39.0,7.450980400000001,safe
6.6666667,1771,37,39.0,8.627450999999999,safe
7.8431372999999995,1778,36,39.0,7.8431372999999995,safe
6.6666667,1756,36,39.0,8.235294099999999,safe
7.8431372999999995,1782,36,39.0,9.411764699999999,safe
8.627450999999999,1733,35,39.0,10.196078,safe
9.8039216,1716,36,39.0,10.196078,safe
9.8039216,1710,35,39.0,10.196078,safe
9.8039216,1712,35,39.0,10.196078,safe
9.8039216,1711,35,39.0,10.196078,safe
9.8039216,1711,35,39.0,10.196078,safe
9.8039216,1716,36,39.0,9.411764699999999,safe
